order_id,order_item_id,customer_id,product_id,campaign_id,channel_id,platform_id,date,customer_name,email,customer_type,country,product_name,category,item_price,quantity,channel_name,platform_name,impressions,spend,clicks,orders,revenue
ORDR48520,ORDR0073796-026,CUST48834,PROD42071,CMP92370,CHNL_02,PLT1,2024-03-01,Joe Watson,Joe@example.com,top_buyer_vip,Malawi,Custom Printed T-Shirt,Apparel,48.55,237,Paid_Search,Google Ads,28,50.27,85,27,11506.35
ORDR06018,ORDR0073796-027,CUST52526,PROD74003,CMP92021,CHNL_01,PLT2,2025-05-22,Shawn Nguyen,Shawn@example.com,medium_volume_buyer,Montenegro,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Social,Facebook Ads,19,87.64,64,18,15595.2
ORDR27625,ORDR0073796-028,CUST85543,PROD28490,CMP64369,CHNL_01,PLT2,2024-01-18,Michael Gordon,Michael@example.com,top_buyer_vip,Barbados,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Social,Facebook Ads,27,53.99,80,32,24390.0
ORDR46485,ORDR0073796-029,CUST52781,PROD74003,CMP97804,CHNL_01,PLT2,2024-05-26,Kent Patterson,Kent@example.com,low_volume_buyer,Guam,Personalized Photo Blanket,Home Decor,136.72,53,Social,Facebook Ads,9,94.55,40,37,7246.16
ORDR61445,ORDR0073796-030,CUST16262,PROD50265,CMP81151,CHNL_02,PLT1,2024-12-16,Julie West,Julie@example.com,low_volume_buyer,Germany,Personalized Phone Case,Accessories,27.67,62,Paid_Search,Google Ads,24,56.42,120,29,1715.54
ORDR59236,ORDR0073796-031,CUST92473,PROD62516,CMP10035,CHNL_02,PLT1,2025-01-26,Cole Allen,Cole@example.com,low_volume_buyer,Guyana,FreePrints Matte Photo Print,Photo Prints,5.13,51,Paid_Search,Google Ads,20,97.78,30,21,261.63
ORDR66472,ORDR0073796-032,CUST84989,PROD12253,CMP11865,CHNL_03,PLT4,2024-02-12,Veronica Rivera,Veronica@example.com,medium_volume_buyer,Gambia,Personalized Business Card,Business Cards,35.43,137,Email,Mailchimp,17,26.71,97,28,4853.91
ORDR44857,ORDR0073796-033,CUST50753,PROD10448,CMP64235,CHNL_02,PLT1,2025-09-15,Danielle Thompson,Danielle@example.com,top_buyer_vip,Dominica,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Paid_Search,Google Ads,8,88.44,69,16,24390.0
ORDR35233,ORDR0073796-034,CUST75062,PROD10448,CMP10581,CHNL_03,PLT4,2025-11-19,Alex Gilbert,Alex@example.com,low_volume_buyer,Svalbard & Jan Mayen Islands,Personalized Phone Case,Accessories,27.67,62,Email,Mailchimp,12,10.2,65,13,1715.54
ORDR23793,ORDR0073796-035,CUST61639,PROD28490,CMP24653,CHNL_01,PLT2,2025-08-16,Nicholas Kim,Nicholas@example.com,medium_volume_buyer,Lithuania,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Social,Facebook Ads,19,75.46,115,28,15595.2
ORDR45569,ORDR0073796-036,CUST17669,PROD16491,CMP01161,CHNL_03,PLT4,2024-05-26,Carrie Collins,Carrie@example.com,low_volume_buyer,Kiribati,Personalized Hoodie,Apparel,94.28,29,Email,Mailchimp,18,5.53,104,21,2734.12
ORDR76789,ORDR0073796-037,CUST41867,PROD85752,CMP55127,CHNL_02,PLT1,2024-05-22,Jessica Smith,Jessica@example.com,low_volume_buyer,Lao People's Democratic Republic,Personalized Phone Case,Accessories,27.67,62,Paid_Search,Google Ads,21,97.71,49,29,1715.54
ORDR27814,ORDR0073796-038,CUST76581,PROD68292,CMP15993,CHNL_01,PLT2,2025-01-17,Maria Wright,Maria@example.com,low_volume_buyer,Liechtenstein,FreePrints Layflat Photobook,Photobooks,67.89,68,Social,Facebook Ads,5,41.75,45,39,4616.52
ORDR03690,ORDR0073796-039,CUST01545,PROD74003,CMP17101,CHNL_01,PLT2,2025-03-26,Valerie Mcconnell,Valerie@example.com,ultra_vip_elite,Yemen,FreePrints Mini Photobook,Photobooks,24.55,288,Social,Facebook Ads,6,77.1,83,48,7070.4
ORDR23469,ORDR0073796-040,CUST06933,PROD28820,CMP16858,CHNL_01,PLT2,2024-05-02,Lindsey Edwards,Lindsey@example.com,low_volume_buyer,Rwanda,Personalized Hoodie,Apparel,94.28,29,Social,Facebook Ads,27,49.26,57,49,2734.12
ORDR57724,ORDR0073796-041,CUST32486,PROD63229,CMP52377,CHNL_01,PLT2,2025-09-04,Kenneth Henry,Kenneth@example.com,low_volume_buyer,Aruba,Thank You Card with Photo,Greeting Cards,47.37,29,Social,Facebook Ads,6,77.21,72,33,1373.73
ORDR18305,ORDR0073796-042,CUST59278,PROD81247,CMP32531,CHNL_02,PLT1,2024-03-07,Ryan Anderson,Ryan@example.com,low_volume_buyer,Zimbabwe,Personalized Photo Blanket,Home Decor,136.72,53,Paid_Search,Google Ads,24,56.81,116,43,7246.16
ORDR97463,ORDR0073796-043,CUST10665,PROD10448,CMP47183,CHNL_01,PLT2,2025-12-10,Lance Miller,Lance@example.com,top_buyer_vip,Senegal,Custom Coffee Mug,Drinkware,119.91,224,Social,Facebook Ads,27,92.26,102,41,26859.84
ORDR66548,ORDR0073796-044,CUST95558,PROD28820,CMP44416,CHNL_03,PLT4,2025-03-15,Robert Anderson,Robert@example.com,medium_volume_buyer,Kiribati,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Email,Mailchimp,23,13.88,100,34,15595.2
ORDR34836,ORDR0073796-045,CUST01859,PROD09824,CMP66946,CHNL_02,PLT1,2025-10-27,Jacob Kerr,Jacob@example.com,low_volume_buyer,Tokelau,Personalized Phone Case,Accessories,27.67,62,Paid_Search,Google Ads,17,86.91,75,43,1715.54
ORDR58851,ORDR0073796-046,CUST04430,PROD05310,CMP35333,CHNL_01,PLT2,2024-02-06,Kelly White,Kelly@example.com,medium_volume_buyer,Cook Islands,FreePrints 8x10 Photo Print,Photo Prints,86.08,136,Social,Facebook Ads,13,25.65,115,21,11706.88
ORDR45340,ORDR0073796-047,CUST24455,PROD04152,CMP08468,CHNL_01,PLT2,2025-01-17,Troy Martinez,Troy@example.com,top_buyer_vip,Maldives,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Social,Facebook Ads,22,85.32,35,24,24390.0
ORDR57062,ORDR0073796-048,CUST62920,PROD12253,CMP22236,CHNL_03,PLT4,2024-09-07,Paula Davies,Paula@example.com,low_volume_buyer,Seychelles,Personalized Children’s Storybook,Books,45.24,56,Email,Mailchimp,26,27.1,116,35,2533.44
ORDR85787,ORDR0073796-049,CUST06193,PROD67270,CMP42223,CHNL_02,PLT1,2024-03-03,Dwayne Martin MD,Dwayne@example.com,top_buyer_vip,Pakistan,Personalized Photo Mug,Drinkware,109.64,256,Paid_Search,Google Ads,29,79.18,68,26,28067.84
ORDR57012,ORDR0073796-050,CUST70620,PROD16491,CMP80877,CHNL_01,PLT2,2025-04-24,Teresa Romero,Teresa@example.com,ultra_vip_elite,Belgium,Custom Photo Pillow,Home Decor,129.05,293,Social,Facebook Ads,17,90.22,83,43,37811.65
ORDR34968,ORDR0073796-051,CUST66003,PROD09824,CMP41642,CHNL_02,PLT1,2024-10-09,Mrs. Lauren Foster,Mrs.@example.com,medium_volume_buyer,Kenya,FreePrints 8x10 Photo Print,Photo Prints,86.08,136,Paid_Search,Google Ads,5,41.0,65,24,11706.88
ORDR86116,ORDR0073796-052,CUST27546,PROD62516,CMP18416,CHNL_02,PLT1,2025-12-12,Kevin Campbell,Kevin@example.com,top_buyer_vip,Liechtenstein,Custom Coffee Mug,Drinkware,119.91,224,Paid_Search,Google Ads,12,103.1,105,47,26859.84
ORDR58909,ORDR0073796-053,CUST42385,PROD68292,CMP67079,CHNL_03,PLT4,2024-06-02,David Austin,David@example.com,high_volume_buyer,Solomon Islands,Custom Tote Bag,Accessories,89.21,171,Email,Mailchimp,20,23.42,57,45,15254.91
ORDR08092,ORDR0073796-054,CUST26810,PROD77492,CMP41558,CHNL_03,PLT4,2025-02-08,Linda Jones,Linda@example.com,high_volume_buyer,Madagascar,Custom Name Necklace,Jewelry,40.56,216,Email,Mailchimp,14,14.11,98,23,8760.96
ORDR93955,ORDR0073796-055,CUST50675,PROD50265,CMP81822,CHNL_02,PLT1,2025-08-28,Casey Nunez,Casey@example.com,top_buyer_vip,Qatar,Birth Announcement Card,Greeting Cards,30.74,250,Paid_Search,Google Ads,6,54.67,98,17,7685.0
ORDR95308,ORDR0073796-056,CUST66513,PROD04152,CMP41253,CHNL_03,PLT4,2024-11-26,David Mendez,David@example.com,high_volume_buyer,Mali,FreePrints 4x6 Photo Print,Photo Prints,104.18,215,Email,Mailchimp,22,6.25,74,29,22398.7
ORDR41610,ORDR0073796-057,CUST52883,PROD09824,CMP29282,CHNL_03,PLT4,2024-06-12,Tracey Guzman,Tracey@example.com,top_buyer_vip,Russian Federation,FreePrints Hardcover Photobook,Photobooks,40.62,276,Email,Mailchimp,17,13.6,76,49,11211.12
ORDR29887,ORDR0073796-058,CUST27118,PROD12253,CMP31356,CHNL_02,PLT1,2025-08-05,Danielle Johnson,Danielle@example.com,medium_volume_buyer,Belize,Personalized Business Card,Business Cards,35.43,137,Paid_Search,Google Ads,10,91.66,67,18,4853.91
ORDR64786,ORDR0073796-059,CUST45194,PROD22954,CMP72552,CHNL_02,PLT1,2024-05-09,Donald Short,Donald@example.com,top_buyer_vip,Macao,Personalized Photo Mug,Drinkware,109.64,256,Paid_Search,Google Ads,10,54.04,100,37,28067.84
ORDR45829,ORDR0073796-060,CUST06795,PROD77608,CMP85424,CHNL_03,PLT4,2025-11-24,Billy Burgess,Billy@example.com,low_volume_buyer,Zambia,Personalized Birthday Storybook,Books,126.75,62,Email,Mailchimp,26,6.49,113,32,7858.5
ORDR85766,ORDR0073796-061,CUST68989,PROD81717,CMP44160,CHNL_01,PLT2,2024-10-06,Dr. Scott Campbell,Dr.@example.com,low_volume_buyer,Portugal,FreePrints Matte Photo Print,Photo Prints,5.13,51,Social,Facebook Ads,18,34.74,81,47,261.63
ORDR40344,ORDR0073796-062,CUST21259,PROD10448,CMP35237,CHNL_01,PLT2,2024-10-28,Lauren Bailey,Lauren@example.com,top_buyer_vip,Trinidad and Tobago,Birth Announcement Card,Greeting Cards,30.74,250,Social,Facebook Ads,7,37.06,79,23,7685.0
ORDR95491,ORDR0073796-063,CUST40266,PROD42071,CMP51705,CHNL_03,PLT4,2024-07-27,Michael Chan,Michael@example.com,high_volume_buyer,Cyprus,Custom Name Necklace,Jewelry,40.56,216,Email,Mailchimp,15,21.82,115,19,8760.96
ORDR23145,ORDR0073796-064,CUST12436,PROD77978,CMP71094,CHNL_02,PLT1,2025-01-21,Bridget Simmons,Bridget@example.com,ultra_vip_elite,South Georgia and the South Sandwich Islands,FreePrints Mini Photobook,Photobooks,24.55,288,Paid_Search,Google Ads,16,43.25,118,22,7070.4
ORDR95213,ORDR0073796-065,CUST71161,PROD09824,CMP79984,CHNL_03,PLT4,2025-01-02,Nina Marquez,Nina@example.com,low_volume_buyer,Jersey,Personalized Cutting Board,Kitchenware,110.28,74,Email,Mailchimp,22,8.86,60,21,8160.72
ORDR29225,ORDR0073796-066,CUST40005,PROD77492,CMP70808,CHNL_03,PLT4,2024-05-26,Shannon Walker,Shannon@example.com,medium_volume_buyer,Saint Kitts and Nevis,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Email,Mailchimp,24,10.69,104,46,15595.2
ORDR81046,ORDR0073796-067,CUST48130,PROD77608,CMP90295,CHNL_01,PLT2,2024-11-23,Jacqueline Hunt MD,Jacqueline@example.com,low_volume_buyer,Malawi,Thank You Card with Photo,Greeting Cards,47.37,29,Social,Facebook Ads,21,81.13,47,14,1373.73
ORDR06661,ORDR0073796-068,CUST90499,PROD85752,CMP05149,CHNL_02,PLT1,2024-05-10,Charles Castaneda,Charles@example.com,top_buyer_vip,Iceland,FreePrints Square Photo Print,Photo Prints,113.85,262,Paid_Search,Google Ads,28,84.0,120,23,29828.7
ORDR32091,ORDR0073796-069,CUST02257,PROD08964,CMP44435,CHNL_03,PLT4,2024-09-14,Jennifer Flores,Jennifer@example.com,high_volume_buyer,Cote d'Ivoire,Custom Tote Bag,Accessories,89.21,171,Email,Mailchimp,28,17.8,103,29,15254.91
ORDR82580,ORDR0073796-070,CUST98894,PROD10448,CMP87424,CHNL_02,PLT1,2024-02-04,Jason Poole,Jason@example.com,low_volume_buyer,Bangladesh,Personalized Children’s Storybook,Books,45.24,56,Paid_Search,Google Ads,10,77.62,74,36,2533.44
ORDR50059,ORDR0073796-071,CUST96477,PROD85752,CMP31873,CHNL_03,PLT4,2025-03-17,Dylan Russell,Dylan@example.com,medium_volume_buyer,Georgia,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Email,Mailchimp,26,19.64,95,23,15595.2
ORDR28514,ORDR0073796-072,CUST40042,PROD22954,CMP59796,CHNL_03,PLT4,2025-06-02,Kelly Sandoval,Kelly@example.com,medium_volume_buyer,Bosnia and Herzegovina,FreePrints Softcover Photobook,Photobooks,91.41,91,Email,Mailchimp,30,13.78,45,47,8318.31
ORDR16869,ORDR0073796-073,CUST55930,PROD22954,CMP16103,CHNL_03,PLT4,2025-02-22,Steven Chase,Steven@example.com,low_volume_buyer,Cyprus,Personalized Photo Blanket,Home Decor,136.72,53,Email,Mailchimp,17,13.33,91,39,7246.16
ORDR29604,ORDR0073796-074,CUST03502,PROD96371,CMP65985,CHNL_02,PLT1,2025-07-03,Robert Foster,Robert@example.com,high_volume_buyer,Seychelles,Custom Name Necklace,Jewelry,40.56,216,Paid_Search,Google Ads,11,114.81,39,23,8760.96
ORDR19093,ORDR0073796-075,CUST48653,PROD22954,CMP59557,CHNL_01,PLT2,2024-12-13,Thomas Herrera,Thomas@example.com,top_buyer_vip,Saudi Arabia,Birth Announcement Card,Greeting Cards,30.74,250,Social,Facebook Ads,16,48.13,58,24,7685.0
ORDR47536,ORDR0073796-076,CUST74079,PROD34046,CMP24784,CHNL_01,PLT2,2025-06-01,Paula Cox,Paula@example.com,low_volume_buyer,Saint Lucia,Personalized Hoodie,Apparel,94.28,29,Social,Facebook Ads,15,27.31,35,48,2734.12
ORDR09684,ORDR0073796-077,CUST26665,PROD28037,CMP79474,CHNL_01,PLT2,2025-12-19,William Price,William@example.com,low_volume_buyer,Armenia,FreePrints Layflat Photobook,Photobooks,67.89,68,Social,Facebook Ads,21,40.74,84,39,4616.52
ORDR69096,ORDR0073796-078,CUST74389,PROD10448,CMP13860,CHNL_02,PLT1,2024-12-27,Brett Mahoney,Brett@example.com,high_volume_buyer,Papua New Guinea,Custom Name Necklace,Jewelry,40.56,216,Paid_Search,Google Ads,24,94.36,41,27,8760.96
ORDR70299,ORDR0073796-079,CUST73441,PROD77608,CMP38154,CHNL_01,PLT2,2024-04-06,Ashley Bennett,Ashley@example.com,medium_volume_buyer,Niue,Engraved Wooden Keepsake Box,Home Decor,46.62,127,Social,Facebook Ads,23,94.11,73,49,5920.74
ORDR69321,ORDR0073796-080,CUST49374,PROD99201,CMP20895,CHNL_02,PLT1,2024-06-17,Jordan Sheppard,Jordan@example.com,low_volume_buyer,Kazakhstan,Personalized Photo Blanket,Home Decor,136.72,53,Paid_Search,Google Ads,24,67.91,41,20,7246.16
ORDR30439,ORDR0073796-081,CUST49762,PROD09824,CMP72842,CHNL_01,PLT2,2025-08-27,Anita Best,Anita@example.com,medium_volume_buyer,Saint Barthelemy,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Social,Facebook Ads,21,79.13,59,19,15595.2
ORDR30770,ORDR0073796-082,CUST13267,PROD22954,CMP59928,CHNL_02,PLT1,2023-12-24,Ethan Cervantes,Ethan@example.com,top_buyer_vip,Faroe Islands,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Paid_Search,Google Ads,25,70.9,70,32,24390.0
ORDR91493,ORDR0073796-083,CUST71163,PROD77608,CMP22861,CHNL_02,PLT1,2024-06-12,Jose Green,Jose@example.com,top_buyer_vip,New Caledonia,Personalized Holiday Greeting Card,Greeting Cards,90.0,271,Paid_Search,Google Ads,8,47.71,47,42,24390.0
ORDR10235,ORDR0073796-084,CUST42834,PROD99201,CMP98797,CHNL_01,PLT2,2025-07-14,Alexandria Moore,Alexandria@example.com,top_buyer_vip,Ukraine,FreePrints Hardcover Photobook,Photobooks,40.62,276,Social,Facebook Ads,29,88.57,44,49,11211.12
ORDR93905,ORDR0073796-085,CUST24062,PROD99201,CMP93129,CHNL_03,PLT4,2024-05-18,Robert West,Robert@example.com,medium_volume_buyer,Sierra Leone,Custom Wedding Invitation Card,Greeting Cards,108.3,144,Email,Mailchimp,10,21.3,120,22,15595.2
ORDR10052,ORDR0073796-086,CUST37619,PROD12253,CMP11674,CHNL_02,PLT1,2025-08-23,William Hodges,William@example.com,low_volume_buyer,Seychelles,Custom Name Puzzle Book,Books,107.21,57,Paid_Search,Google Ads,29,52.58,104,47,6110.97
ORDR32814,ORDR0073796-087,CUST44408,PROD97771,CMP03262,CHNL_01,PLT2,2024-05-16,Aaron Lyons,Aaron@example.com,low_volume_buyer,Solomon Islands,FreePrints Layflat Photobook,Photobooks,67.89,68,Social,Facebook Ads,27,91.26,48,37,4616.52
ORDR45780,ORDR0073796-088,CUST94581,PROD22954,CMP72503,CHNL_01,PLT2,2025-02-23,Edward Suarez,Edward@example.com,low_volume_buyer,Zimbabwe,Custom Name Puzzle Book,Books,107.21,57,Social,Facebook Ads,8,78.88,37,12,6110.97
ORDR90076,ORDR0073796-089,CUST20074,PROD05310,CMP89278,CHNL_03,PLT4,2024-07-22,Vanessa Richardson,Vanessa@example.com,top_buyer_vip,Austria,Custom Printed T-Shirt,Apparel,48.55,237,Email,Mailchimp,18,23.6,36,31,11506.35
ORDR31616,ORDR0073796-090,CUST47942,PROD08964,CMP15399,CHNL_03,PLT4,2025-11-06,Christine Johnson,Christine@example.com,low_volume_buyer,Dominican Republic,Personalized Birthday Storybook,Books,126.75,62,Email,Mailchimp,8,13.4,64,43,7858.5
ORDR94582,ORDR0073796-091,CUST27296,PROD05310,CMP63723,CHNL_03,PLT4,2024-04-15,Lucas Aguilar,Lucas@example.com,ultra_vip_elite,Colombia,Custom Photo Pillow,Home Decor,129.05,293,Email,Mailchimp,8,15.17,35,26,37811.65
ORDR85219,ORDR0073796-092,CUST55113,PROD77492,CMP45409,CHNL_02,PLT1,2024-11-10,Kimberly Davis,Kimberly@example.com,medium_volume_buyer,French Southern Territories,Personalized Business Card,Business Cards,35.43,137,Paid_Search,Google Ads,8,42.62,48,15,4853.91
ORDR96837,ORDR0073796-093,CUST36155,PROD74003,CMP77772,CHNL_03,PLT4,2025-06-03,Ronald Fitzgerald,Ronald@example.com,low_volume_buyer,Maldives,FreePrints Wall Calendar,Calendars,52.95,40,Email,Mailchimp,15,11.56,93,42,2118.0
ORDR57795,ORDR0073796-094,CUST25391,PROD81247,CMP80407,CHNL_03,PLT4,2024-06-03,Lori Gallagher,Lori@example.com,low_volume_buyer,Uganda,Thank You Card with Photo,Greeting Cards,47.37,29,Email,Mailchimp,29,19.28,54,29,1373.73
ORDR14761,ORDR0073796-095,CUST21902,PROD16491,CMP76688,CHNL_01,PLT2,2024-10-17,Brian Leach,Brian@example.com,low_volume_buyer,Papua New Guinea,Personalized Children’s Storybook,Books,45.24,56,Social,Facebook Ads,7,64.28,114,32,2533.44
ORDR35439,ORDR0073796-096,CUST49955,PROD62516,CMP64557,CHNL_02,PLT1,2025-06-30,Sherry Becker,Sherry@example.com,medium_volume_buyer,Paraguay,FreePrints Glossy Photo Print,Photo Prints,52.92,80,Paid_Search,Google Ads,11,114.25,106,43,4233.6
ORDR42946,ORDR0073796-097,CUST59719,PROD77608,CMP77365,CHNL_02,PLT1,2025-01-09,Patricia Thompson,Patricia@example.com,top_buyer_vip,Malaysia,Birth Announcement Card,Greeting Cards,30.74,250,Paid_Search,Google Ads,15,51.7,47,19,7685.0
ORDR01209,ORDR0073796-098,CUST80153,PROD63229,CMP25714,CHNL_02,PLT1,2024-05-24,Scott Johnson,Scott@example.com,low_volume_buyer,Gabon,Personalized Cutting Board,Kitchenware,110.28,74,Paid_Search,Google Ads,19,89.91,62,49,8160.72
ORDR09101,ORDR0073796-099,CUST64966,PROD74003,CMP92620,CHNL_01,PLT2,2025-02-17,Jessica Cooper,Jessica@example.com,top_buyer_vip,Syrian Arab Republic,Personalized Photo Mug,Drinkware,109.64,256,Social,Facebook Ads,22,91.24,58,23,28067.84
ORDR99296,ORDR0073796-0100,CUST45959,PROD62516,CMP99814,CHNL_03,PLT4,2024-07-16,Christopher Rogers,Christopher@example.com,medium_volume_buyer,Lebanon,FreePrints 8x10 Photo Print,Photo Prints,86.08,136,Email,Mailchimp,29,12.24,94,28,11706.88
